frag_6349	-22.45 -16.66 -17.72
frag_3160	0.87 -2.15 -0.12
frag_1176	-9.63 -18.51 -16.55
frag_1294	-19.89 -24.17 -23.95
frag_3614	-17.79 -13.75 -15.61
frag_1422	-5.96 -2.33 -4.88
frag_2276	-4.98 -7.18 -7.57
frag_3564	-0.57 -3.61 -1.80
frag_6183	-1.84 -15.33 -12.40
frag_5365	-39.73 -44.02 -41.59
frag_0005	15.39 17.20 17.75
frag_7032	-36.07 -22.75 -24.68
frag_1026	26.79 26.55 23.05
frag_3807	-26.65 -25.44 -25.78
frag_2233	6.87 4.95 3.88
frag_1358	3.47 2.27 2.51
frag_0253	-11.75 -12.47 -12.72
frag_7184	-28.00 -27.32 -27.49
frag_5687	-19.56 -15.18 -15.39
frag_3313	8.71 7.82 8.25
frag_1798	13.82 14.01 14.83
frag_4107	-8.69 -8.18 -8.72
frag_6490	-14.02 -16.46 -15.31
frag_5583	13.62 11.31 12.22
frag_5871	15.52 14.56 15.61
frag_6663	28.15 26.64 27.79
frag_6620	-18.45 -19.17 -18.90
frag_0890	-5.20 -6.76 -5.96
frag_5590	-15.15 -14.81 -12.68
frag_4521	-3.79 -5.46 -3.99
frag_0872	5.66 9.15 8.39
frag_6460	5.58 1.83 4.01
frag_1324	7.31 8.07 8.01
frag_6894	53.51 55.05 52.80
frag_4260	-2.87 -0.53 -2.87
frag_0294	-6.62 -5.32 -6.67
frag_1036	-6.88 -2.39 -3.27
frag_6619	-9.09 -10.35 -9.08
frag_1782	-4.38 -9.50 -5.79
frag_3701	-29.83 -28.18 -28.51
frag_4183	2.14 5.46 3.60
frag_4141	8.21 7.15 8.02
frag_6405	-31.44 -25.98 -25.55
frag_2678	8.35 13.62 10.57
frag_3103	39.71 31.56 31.65
frag_6171	-13.79 -17.54 -14.30
frag_5823	-31.27 -26.50 -25.21
frag_7113	72.07 70.64 72.57
frag_2842	24.03 23.39 24.64
frag_4095	12.27 11.35 12.61
frag_4449	11.36 9.22 10.46
frag_3139	-1.73 -4.84 -3.39
frag_5341	-12.43 -16.54 -15.16
frag_0935	18.23 21.27 21.96
frag_0216	-16.39 -15.74 -16.86
frag_0531	14.02 11.26 12.12
frag_3838	-37.36 -34.80 -34.38
frag_0023	49.88 51.33 52.29
frag_4213	-10.48 -7.90 -8.77
frag_6952	-31.75 -33.53 -33.61
frag_1310	21.22 20.45 22.26
frag_2597	-5.62 -5.43 -4.91
frag_5779	5.73 5.85 6.35
frag_2609	7.47 6.95 4.53
frag_0400	6.52 6.38 6.33
frag_5004	18.31 16.61 13.74
frag_1382	-8.13 -7.95 -9.69
frag_2414	11.59 14.20 12.49
frag_0189	-17.88 -12.69 -13.07
frag_3176	1.36 -3.13 -2.35
frag_2426	-8.33 -7.90 -8.12
frag_3251	-47.22 -47.99 -46.87
frag_0598	-3.74 -3.96 -3.36
frag_0215	-23.00 -20.22 -21.10
frag_1363	6.23 12.25 7.74
frag_1815	8.54 7.75 9.63
frag_5560	25.36 28.43 23.59
frag_5677	16.78 14.86 15.44
frag_2182	9.31 11.96 12.99
frag_1931	-18.24 -19.27 -17.07
frag_7131	-5.28 -0.91 -2.83
frag_1241	-6.72 -11.81 -10.15
frag_0061	3.75 3.12 4.28
frag_3558	25.17 28.04 28.08
frag_4612	43.48 38.24 36.31
frag_5372	-4.75 -7.85 -6.24
frag_3035	-27.81 -22.03 -22.13
frag_0688	3.44 0.98 1.76
frag_2861	-17.97 -18.39 -18.57
frag_5531	-10.82 -9.98 -9.65
frag_6851	77.57 72.20 71.77
frag_0913	5.01 7.58 6.16
frag_3777	-6.06 -6.04 -6.30
frag_4460	8.56 13.97 12.50
frag_5965	4.34 7.03 6.16
frag_5415	-43.17 -37.54 -36.14
frag_2990	0.77 3.27 2.81
frag_5327	6.14 3.91 4.94
frag_2174	-9.00 -14.68 -13.46
frag_4344	-14.76 -15.78 -15.08
frag_6879	29.67 29.80 26.51
frag_3551	2.41 -1.56 -0.60
frag_4777	-23.65 -16.51 -16.99
frag_5578	27.69 30.49 27.39
frag_5516	-38.98 -38.93 -36.77
frag_6942	-31.24 -30.14 -29.61
frag_0803	-19.85 -16.56 -17.50
frag_6570	-29.84 -27.20 -26.85
frag_0817	11.72 13.59 13.95
frag_3113	1.68 -0.70 -0.77
frag_6048	56.94 59.31 57.31
frag_2776	-28.43 -24.75 -24.08
frag_2888	7.84 8.22 10.04
frag_0183	24.50 23.38 20.30
frag_1400	-8.16 -4.28 -6.74
frag_3045	20.52 18.44 17.28
frag_5402	-34.99 -31.71 -32.32
frag_0823	32.50 37.75 36.04
frag_6462	1.97 -1.90 0.53
frag_4109	-4.77 -4.43 -4.95
frag_0957	4.80 7.50 7.92
frag_4813	-0.58 -0.98 -1.37
frag_0527	20.91 21.15 19.45
frag_6815	17.80 18.80 16.93
frag_4150	0.76 3.95 1.84
frag_5152	-10.17 -13.43 -12.17
frag_1548	1.47 -5.25 -3.87
frag_2723	-14.14 -8.62 -9.61
frag_5260	-19.30 -18.67 -17.63
frag_5754	-1.42 -0.57 -0.47
frag_5659	12.76 10.94 12.79
frag_1738	-11.61 -11.89 -11.11
frag_1921	2.65 1.38 -0.82
frag_4383	5.78 4.06 6.66
frag_0947	-13.54 -11.48 -11.33
frag_2415	60.22 58.87 57.32
frag_6734	-4.71 -0.19 -1.02
frag_7046	74.08 66.67 71.46
frag_3905	21.99 26.63 26.04
frag_0750	-8.63 -12.96 -11.68
frag_2048	11.87 13.85 12.25
frag_4942	8.78 7.00 8.96
frag_3588	7.57 11.17 9.96
frag_5743	19.67 22.98 22.74
frag_3402	-14.58 -15.75 -16.23
frag_3779	12.65 12.19 13.51
frag_0234	-11.37 -15.49 -14.89
frag_6337	27.51 33.19 32.90
frag_4558	25.93 19.56 17.31
frag_0317	5.96 9.46 10.00
frag_6852	23.31 25.10 20.38
frag_4278	5.49 -0.31 0.55
frag_6325	1.08 3.21 3.97
frag_0377	15.46 14.22 15.26
frag_3215	-20.96 -20.16 -20.67
frag_2751	-19.01 -17.62 -16.45
frag_0171	8.38 13.81 11.90
frag_4593	53.43 40.82 40.96
frag_6252	-0.07 0.15 0.23
frag_1613	11.11 5.88 6.46
frag_2568	-2.69 -0.01 -3.08
frag_5775	-4.12 -2.03 -1.67
frag_4350	-2.01 -0.65 -2.17
frag_3631	-18.70 -19.91 -20.44
frag_6423	-39.19 -30.93 -30.95
frag_2541	-11.02 -5.82 -7.81
frag_4893	3.57 1.33 1.64
frag_5678	-3.73 -5.73 -4.96
frag_3165	13.27 15.41 14.54
frag_6143	-6.29 -7.30 -6.33
frag_6503	-47.33 -46.20 -44.80
frag_6924	-14.37 -4.87 -6.32
frag_1225	-16.24 -19.38 -19.00
frag_4403	-16.29 -19.86 -17.34
frag_0751	-18.58 -20.92 -20.62
frag_4567	26.45 24.42 24.79
frag_3410	-22.55 -20.67 -22.12
frag_6297	10.77 17.76 14.91
frag_1679	-19.81 -21.78 -20.46
frag_1403	12.72 17.56 16.32
frag_5960	-30.57 -27.55 -26.39
frag_4433	-9.59 -11.34 -11.37
frag_2485	12.04 13.39 14.00
frag_1428	38.00 36.99 38.53
frag_0511	3.41 3.26 3.01
frag_1408	-8.64 -13.95 -14.09
frag_5412	30.00 30.26 26.98
frag_4370	-3.15 -0.16 -1.31
frag_2012	-0.00 -4.78 -3.74
frag_1278	-16.84 -13.54 -15.99
frag_1710	-6.08 -11.22 -7.49
frag_4402	-14.81 -15.12 -14.89
frag_1521	18.52 10.83 10.74
frag_5465	1.75 -2.22 0.34
frag_1809	0.75 -4.02 -3.32
frag_3785	13.90 13.98 14.90
frag_3312	0.98 -4.48 -2.22
frag_2413	34.40 35.56 32.22
frag_3739	-18.75 -12.22 -15.51
frag_3263	-18.39 -20.72 -20.27
frag_6434	4.94 8.42 5.96
frag_6872	12.77 12.16 9.32
frag_5646	-3.56 -1.98 -2.15
frag_3009	18.29 20.23 21.12
frag_0596	-16.67 -12.77 -13.42
frag_7073	-21.31 -19.27 -21.00
frag_4926	21.03 17.74 14.29
frag_4957	-29.42 -34.22 -32.33
frag_6292	-20.51 -13.44 -14.92
frag_6632	17.80 15.21 13.01
frag_4258	17.92 12.33 11.29
frag_1433	14.15 13.72 13.53
frag_6202	14.81 12.91 14.21
frag_4185	26.54 33.07 31.57
frag_1384	-5.64 -2.67 -5.10
frag_1764	-11.61 -14.35 -13.64
frag_5009	21.35 18.31 15.30
frag_2359	6.60 14.85 11.08
frag_4540	-24.95 -23.01 -24.30
frag_1744	4.67 1.50 2.21
frag_1022	-25.38 -26.09 -25.45
frag_4001	-8.20 -6.45 -7.50
frag_7052	46.31 42.20 44.39
frag_0821	1.32 0.56 0.82
frag_6711	3.88 5.68 7.21
frag_2523	20.92 18.75 17.10
frag_4467	21.17 24.96 24.10
frag_2959	16.98 17.78 17.61
frag_3399	3.63 0.85 1.75
frag_0497	8.91 11.79 8.08
frag_4828	-52.13 -49.10 -48.32
frag_5272	20.82 16.93 15.44
frag_5521	1.50 2.32 2.34
frag_6900	9.01 7.58 6.97
frag_4694	-14.01 -13.88 -12.71
frag_0749	-15.98 -13.04 -14.27
frag_1944	-5.69 -10.95 -5.65
frag_4387	-18.68 -20.12 -20.24
frag_2717	0.31 -3.04 -2.18
frag_3089	45.80 38.72 38.28
frag_3077	-3.20 -8.50 -7.94
frag_6629	6.06 -1.52 -0.31
frag_6488	0.59 -2.23 -1.26
frag_1556	6.60 -4.26 0.59
frag_6404	-36.94 -35.76 -33.83
frag_4152	5.89 11.36 8.43
frag_2334	11.44 12.65 10.87
frag_2410	20.09 18.79 17.02
frag_5371	-2.40 -5.26 -3.65
frag_2828	8.34 10.48 10.32
frag_3157	9.74 9.11 9.66
frag_3866	2.97 7.26 4.57
frag_4276	6.76 2.57 4.26
frag_3771	0.64 4.85 2.21
frag_6774	-40.93 -40.10 -38.68
frag_4632	3.39 4.34 4.09
frag_3691	-7.42 -4.42 -5.18
frag_3864	2.40 8.08 5.09
frag_6738	-19.73 -16.97 -16.38
frag_4698	13.89 14.14 14.75
frag_5159	29.09 30.18 28.24
frag_3884	-4.88 -4.24 -5.05
frag_0327	8.84 5.12 6.14
frag_1594	10.12 -2.23 2.46
frag_0756	11.65 14.01 15.17
frag_1083	-10.18 -6.97 -6.96
frag_2986	-21.82 -17.85 -17.86
frag_4497	-1.78 1.81 1.60
frag_4982	-11.94 -18.42 -18.56
frag_4645	-37.50 -35.26 -35.53
frag_0652	9.58 6.35 6.54
frag_5679	-25.75 -24.08 -24.23
frag_0966	28.84 27.31 23.38
frag_0465	34.69 36.67 36.00
frag_7124	-22.88 -19.83 -19.12
frag_2084	-12.80 -7.61 -10.04
frag_6057	13.28 7.45 9.01
frag_6682	-7.95 -10.28 -10.92
frag_4156	1.78 4.51 2.36
frag_5905	15.59 15.43 15.88
frag_2582	16.71 18.26 17.14
frag_1093	-5.03 -3.03 -2.85
frag_5214	29.37 29.64 26.32
frag_5617	0.03 0.47 -0.10
frag_5053	-8.38 -12.63 -11.17
frag_4397	-15.29 -15.33 -14.98
frag_1151	49.33 50.30 47.84
frag_3546	6.61 9.23 7.25
frag_6257	17.29 17.22 16.95
frag_5173	-37.37 -36.34 -34.44
frag_1655	24.81 21.97 23.68
frag_5864	39.85 37.46 34.98
frag_4309	-6.58 -8.71 -7.92
frag_0924	7.90 11.71 11.30
frag_6890	39.98 38.94 37.43
frag_5313	28.00 25.99 23.10
frag_6456	11.74 15.95 16.86
frag_3652	8.17 10.92 12.11
frag_0240	-46.07 -45.06 -42.15
frag_6227	7.74 2.54 1.22
frag_5038	16.98 14.86 12.57
frag_4200	-0.51 0.94 0.48
frag_6697	31.74 30.97 32.11
frag_2364	-8.96 -11.20 -10.82
frag_0594	-23.10 -19.89 -19.63
frag_2911	-22.89 -21.44 -21.14
frag_3287	-12.48 -12.46 -12.67
frag_3530	-11.89 -9.29 -10.39
frag_3101	18.31 16.38 16.92
frag_3259	-19.18 -20.59 -20.16
frag_1463	11.98 13.58 13.28
frag_5994	9.19 11.59 11.69
frag_3145	2.40 -5.01 -3.34
frag_4631	6.71 3.25 1.05
frag_2739	12.36 12.27 12.20
frag_6746	3.28 5.61 5.92
frag_1155	-25.50 -25.19 -25.97
frag_0661	12.22 6.61 7.80
frag_0672	8.18 6.13 7.78
frag_3868	27.08 31.59 30.11
frag_4039	-3.77 -1.81 -1.97
frag_3274	-1.84 -5.92 -4.13
frag_1021	-22.51 -21.50 -20.08
frag_1638	8.42 3.70 4.44
frag_6767	0.27 -0.04 0.94
frag_3809	-33.57 -36.53 -35.54
frag_4990	10.89 8.02 5.66
frag_1047	-5.78 -4.43 -3.64
frag_1628	23.63 14.01 15.09
frag_3610	14.46 18.67 18.67
frag_2363	13.29 11.22 12.51
frag_6240	-5.50 -0.92 -1.28
frag_6528	-47.39 -47.49 -44.40
frag_4263	-1.03 -5.06 -3.39
frag_0448	-20.76 -18.50 -18.92
frag_4591	42.15 34.99 35.07
frag_0057	-16.05 -11.91 -11.21
frag_2862	-51.82 -49.76 -46.61
frag_1298	-23.79 -25.40 -25.35
frag_5467	20.77 23.73 22.54
frag_5162	-41.35 -35.38 -34.32
frag_1130	6.43 7.73 7.00
frag_6362	-19.82 -15.30 -16.02
frag_3754	-3.90 -6.77 -6.92
frag_5042	-21.37 -16.54 -18.11
frag_6529	-15.74 -17.87 -16.76
frag_1291	-18.15 -15.78 -17.62
frag_6916	-30.03 -29.72 -29.24
frag_2984	-7.76 -9.78 -6.62
frag_2921	-46.00 -50.85 -46.18
frag_5293	23.93 25.53 23.12
frag_5209	0.60 -1.42 -3.68
frag_6270	-5.74 -3.09 -0.88
frag_5972	-1.02 4.47 3.32
frag_6886	28.09 31.59 28.05
frag_2494	-3.81 1.15 -0.47
frag_6812	-12.36 -15.02 -13.01
frag_3499	-12.26 -12.07 -12.66
frag_1674	2.85 -3.40 -1.10
frag_6537	-10.02 -11.64 -12.61
frag_6535	-18.83 -24.57 -19.18
frag_7044	44.72 40.06 42.45
frag_6653	6.72 4.85 3.05
frag_4181	-0.06 3.18 1.75
frag_4705	-2.27 -2.92 -3.16
frag_3292	-35.64 -34.38 -34.66
frag_6498	-1.96 -7.15 -4.87
frag_6593	-22.61 -22.72 -20.56
frag_6850	51.03 48.85 46.10
frag_6301	-3.37 -3.74 -4.14
frag_6773	-12.12 -12.64 -10.95
frag_2656	18.18 17.57 18.80
frag_6145	3.76 -0.70 1.45
frag_0198	8.13 13.20 12.85
frag_5872	16.36 16.69 17.53
frag_4861	4.46 2.59 0.36
frag_0857	5.20 10.71 7.84
frag_3442	-10.49 -12.17 -11.98
frag_6947	-40.16 -36.23 -36.66
frag_5658	-13.64 -14.36 -13.88
frag_7090	-21.65 -10.99 -13.99
frag_3127	-0.05 -5.25 -4.24
frag_3996	-7.22 -8.17 -8.68
frag_0229	-1.08 -3.62 -3.18
frag_5568	20.52 23.95 21.63
frag_6477	-10.45 -10.58 -8.34
frag_0835	0.31 6.22 3.78
frag_5576	5.26 8.30 7.20
frag_3621	15.28 18.56 18.71
frag_5720	5.49 9.95 9.24
frag_6367	-20.75 -16.09 -17.83
frag_1702	-18.21 -20.70 -19.75
frag_6566	-6.38 -4.28 -4.77
frag_6046	31.16 36.14 32.40
frag_6308	-5.27 -4.64 -3.42
frag_4865	-2.85 -1.66 -2.96
frag_0476	18.33 18.08 19.08
frag_0069	-10.96 -9.36 -10.20
frag_4069	-27.92 -24.45 -26.69
frag_5991	-21.62 -16.88 -15.63
frag_0086	10.42 14.61 15.01
frag_2373	-6.28 -4.84 -5.68
frag_7093	-4.66 4.59 2.68
frag_2383	-1.13 4.02 2.01
frag_3716	-34.19 -33.21 -32.86
frag_3091	-2.98 -8.70 -7.17
frag_5719	-29.35 -24.54 -23.52
frag_0528	-9.96 -4.40 -5.67
frag_1747	-19.30 -16.30 -17.73
frag_7099	-12.51 -11.74 -13.03
frag_1969	8.40 8.63 8.04
frag_7055	92.57 89.83 90.20
frag_4652	2.22 -1.64 -0.23
frag_1237	-16.62 -15.49 -17.35
frag_0508	-1.18 0.10 -0.81
frag_1350	1.69 2.91 2.71
frag_3212	-8.57 -3.49 -6.23
frag_2935	9.73 10.11 11.73
frag_4783	-46.43 -47.11 -45.00
frag_4392	-26.07 -26.90 -26.65
frag_6912	-33.13 -33.32 -33.78
frag_2873	19.71 10.63 12.28
frag_0311	12.79 13.53 14.03
frag_4566	23.39 19.26 16.43
frag_6368	12.25 15.96 17.32
frag_2594	33.27 33.46 33.70
frag_5074	19.21 17.86 17.25
frag_3649	-0.13 0.92 1.35
frag_1704	-27.15 -33.27 -28.86
frag_1113	6.24 11.47 10.05
frag_4284	17.56 13.02 15.92
frag_2095	27.68 27.10 29.78
frag_0505	9.74 10.90 11.78
frag_5368	-27.20 -21.23 -22.23
frag_7122	3.35 4.37 4.52
frag_3122	7.93 7.47 6.12
frag_0915	6.74 8.72 7.46
frag_5408	-46.16 -46.05 -44.46
frag_6760	28.11 27.56 25.20
frag_0379	-31.52 -35.05 -31.48
frag_0925	5.36 10.81 8.08
frag_6554	6.43 8.67 8.32
frag_2052	2.36 0.51 1.35
frag_6702	39.70 41.00 42.71
frag_1650	1.88 1.07 2.62
frag_1434	-8.61 -10.82 -11.59
frag_5649	10.01 8.50 9.16
frag_1175	-26.91 -36.61 -33.86
frag_5956	33.13 32.58 29.10
frag_6999	-27.53 -26.24 -28.21
frag_6564	-19.97 -19.07 -18.64
frag_3906	-5.17 -2.07 -1.99
frag_2361	49.48 55.38 55.15
frag_4900	-9.33 -9.37 -9.62
frag_6408	-37.90 -33.54 -34.16
frag_4500	-13.75 -11.43 -12.15
frag_5714	-33.44 -25.88 -24.96
frag_4076	16.18 14.08 16.00
frag_3364	-17.95 -16.54 -16.68
frag_3408	-14.09 -14.52 -13.91
frag_3223	-20.28 -19.67 -20.10
frag_5813	-46.95 -44.20 -42.32
frag_6802	8.50 9.89 11.10
frag_5378	-2.49 -0.39 -0.31
frag_5541	14.85 18.36 16.51
frag_6714	-15.77 -12.52 -12.74
frag_1937	-16.10 -17.97 -17.22
frag_4338	-15.85 -16.38 -16.45
frag_2111	-0.35 -0.66 0.93
frag_5486	-10.08 -14.90 -13.45
frag_6464	7.34 -1.26 0.99
frag_1509	7.74 7.51 8.19
frag_1737	6.21 5.97 5.58
frag_7028	-17.41 -20.95 -22.52
frag_4182	-6.51 -9.20 -8.79
frag_1172	73.30 56.79 59.98
frag_4875	15.01 10.87 9.15
frag_6363	-19.15 -18.07 -17.12
frag_3203	-31.88 -30.44 -31.31
frag_2241	36.74 37.92 38.45
frag_6193	5.54 -2.08 -0.97
frag_5349	-13.43 -11.91 -12.32
frag_1369	1.23 6.66 2.36
frag_5592	11.20 8.09 9.13
frag_2270	-3.94 -2.11 -3.12
frag_5374	-22.62 -21.14 -20.88
frag_4858	-36.72 -42.03 -37.34
frag_3980	-14.63 -10.74 -13.71
frag_0124	1.20 2.52 2.44
frag_4021	-2.12 3.58 1.41
frag_7152	-41.14 -42.51 -42.19
frag_7070	21.14 22.13 21.43
frag_2027	2.98 1.78 3.27
frag_0765	-17.18 -17.14 -17.27
frag_4240	4.76 8.91 7.35
frag_0827	-3.36 -1.94 -2.75
frag_4122	-4.00 -3.11 -3.57
frag_1343	29.14 29.51 30.03
frag_3019	-14.20 -9.78 -11.01
frag_3688	9.36 11.27 12.63
frag_2522	-4.90 -3.14 -3.56
frag_1715	-14.41 -13.11 -13.18
frag_5170	23.37 21.29 19.42
frag_1094	9.19 8.16 9.10
frag_5005	-36.19 -33.60 -33.19
frag_2727	-3.05 -5.32 -4.56
frag_4072	7.05 8.74 9.36
frag_4924	6.36 -5.31 -2.97
frag_2429	9.25 11.29 9.29
frag_5283	14.35 11.11 12.48
frag_2530	17.26 16.14 17.78
frag_5832	36.16 35.56 34.35
frag_5662	28.99 27.21 24.15
frag_1865	-2.06 -4.06 -5.25
frag_0087	-2.57 1.61 -0.25
frag_3959	13.23 16.53 15.19
frag_5357	-36.14 -34.12 -32.38
frag_5161	30.28 29.79 27.97
frag_0653	-7.97 -4.01 -5.69
frag_2061	14.29 18.00 15.93
frag_3253	28.30 27.43 27.50
frag_1725	-27.91 -24.66 -24.72
frag_1786	-27.87 -23.45 -23.76
frag_0251	-14.84 -14.98 -15.16
frag_6402	-14.76 -19.13 -14.55
frag_2483	-7.31 -7.12 -7.74
frag_3689	-4.20 -2.20 -1.49
frag_3299	-13.34 -10.21 -11.28
frag_0682	-17.99 -22.32 -20.24
frag_1086	23.69 24.03 20.97
frag_6513	-2.03 -8.19 -9.46
frag_4453	34.00 31.51 32.66
frag_4964	15.53 11.90 9.25
frag_6675	-6.14 -3.15 -3.31
frag_3115	-3.41 -10.11 -9.28
frag_3575	11.94 10.38 10.02
frag_0795	8.47 9.49 9.60
frag_6598	-51.21 -48.20 -47.15
frag_1819	26.23 24.16 22.32
frag_6950	-49.88 -46.05 -47.19
frag_3860	7.15 11.94 10.25
frag_3227	-19.32 -19.17 -19.87
frag_6764	51.77 47.08 46.08
frag_0830	-6.34 -4.19 -4.56
frag_7202	49.26 45.41 46.96
frag_5228	-2.76 1.59 0.61
frag_0019	-5.93 -4.13 -4.30
frag_7136	-4.41 -5.01 -2.73
frag_2655	14.55 15.54 16.74
frag_4672	-28.17 -26.97 -26.72
frag_1100	14.79 17.12 16.53
frag_1927	1.47 0.41 2.06
frag_0271	19.66 25.31 23.64
frag_3808	-24.08 -26.72 -26.77
frag_0393	-6.69 -3.91 -4.67
frag_3818	-17.52 -18.79 -18.37
frag_6330	14.30 11.10 12.74
frag_5883	15.16 16.21 15.47
frag_4991	18.11 19.63 15.43
frag_0824	-16.13 -11.37 -13.37
frag_0637	4.16 7.49 8.00
frag_5828	20.86 20.63 18.07
frag_1749	-18.77 -17.27 -19.46
frag_2683	-4.68 -8.03 -7.58
frag_1190	-2.38 -10.19 -7.92
frag_1442	-3.06 0.26 -2.59
frag_6640	38.24 37.59 35.93
frag_0959	-6.76 -6.25 -4.48
frag_5090	-19.08 -17.22 -16.89
frag_5297	26.40 30.08 27.38
frag_0836	-21.82 -20.00 -19.81
frag_6451	9.64 8.93 10.27
frag_4655	-12.27 -10.99 -11.02
frag_2064	32.25 32.72 33.53
frag_5538	3.97 7.60 4.91
frag_0409	4.51 2.57 4.28
frag_3283	-18.21 -18.00 -18.22
frag_2976	-0.45 3.68 1.26
frag_3508	-4.49 -3.08 -4.06
frag_5798	-11.24 -11.99 -10.15
frag_1907	1.88 -1.84 -0.33
frag_5333	-7.62 -9.10 -8.01
frag_6717	-20.92 -17.14 -17.21
frag_4160	2.62 6.20 3.71
frag_1680	-2.79 -8.71 -7.21
frag_0934	-0.40 3.46 2.31
frag_2973	41.22 47.02 47.74
frag_0135	-1.47 1.14 -0.12
frag_4331	-39.24 -40.51 -40.00
frag_5282	6.72 5.95 6.15
frag_2622	19.97 13.71 14.69
frag_4665	11.16 11.69 10.19
frag_1058	0.20 0.21 0.75
frag_6165	-23.86 -18.10 -18.75
frag_6394	-27.28 -22.04 -23.48
frag_5396	-32.20 -31.59 -30.68
frag_3898	-2.25 -0.43 -1.56
frag_0273	63.72 60.58 64.43
frag_4196	-11.97 -9.38 -10.01
frag_6328	13.33 9.80 11.65
frag_0736	-10.90 -6.08 -8.35
frag_1409	13.60 18.08 16.50
frag_6072	7.53 4.22 7.07
frag_5453	28.77 31.27 28.72
frag_4505	3.12 4.99 4.53
frag_7059	62.95 57.13 58.03
frag_0889	4.70 2.47 4.07
frag_6928	-41.85 -26.79 -29.55
frag_4876	12.42 8.95 6.61
frag_4723	-32.38 -27.78 -27.29
frag_0866	23.36 29.00 28.88
frag_1592	-1.54 -11.25 -7.09
frag_2952	12.93 12.73 13.51
frag_3509	8.12 3.55 5.01
frag_3734	3.87 10.38 6.97
frag_4549	84.25 71.74 70.10
frag_2814	9.26 2.06 4.46
frag_0583	47.24 51.72 49.26
frag_2087	-18.11 -12.16 -14.53
frag_6315	-2.87 -5.07 -3.30
frag_5354	-45.33 -40.71 -38.74
frag_7147	-23.16 -22.52 -22.92
frag_4187	-1.21 3.97 2.13
frag_2188	-10.34 -12.20 -11.60
frag_6054	9.54 3.50 5.29
frag_4330	-26.84 -31.09 -29.46
frag_3528	-12.30 -9.18 -10.87
frag_3329	-16.60 -18.13 -17.69
frag_3928	-26.81 -25.75 -25.50
frag_2452	11.92 12.99 14.21
frag_0016	14.47 19.22 18.49
frag_2223	28.03 27.36 27.45
frag_6280	-27.94 -28.54 -27.94
frag_1573	31.24 26.38 26.38
frag_2970	22.72 26.54 25.79
frag_0338	-33.57 -32.98 -31.11
frag_1669	-4.49 -10.55 -8.65
frag_6666	-8.60 -10.69 -9.24
frag_3137	-3.17 1.20 -0.98
frag_0205	-24.89 -18.30 -18.90
frag_0212	9.62 10.52 10.78
frag_3064	25.30 16.26 18.28
frag_4981	7.98 6.48 6.51
frag_1808	28.70 28.08 30.13
frag_0079	21.25 25.31 24.20
frag_5691	-3.10 -8.34 -7.04
frag_6422	-30.16 -26.38 -23.74
frag_2675	3.14 4.13 2.88
frag_5544	27.60 30.43 27.24
frag_4580	2.59 4.93 3.48
frag_0893	-16.31 -13.40 -15.71
frag_3335	-11.25 -13.82 -13.01
frag_5980	3.11 4.83 5.27
frag_5818	-38.61 -34.86 -34.33
frag_2234	30.46 31.79 31.32
frag_1039	10.83 9.65 10.93
frag_4247	-31.75 -28.08 -28.95
frag_1582	5.85 1.59 -1.04
frag_3276	-44.85 -45.93 -44.84
frag_5895	-15.68 -18.53 -17.24
frag_2319	21.51 25.93 21.94
frag_1728	6.77 6.53 6.85
frag_6042	36.02 38.94 36.05
frag_6247	11.04 12.76 12.21
frag_2327	13.82 13.49 11.55
frag_2328	31.89 35.65 32.50
frag_4257	29.57 35.07 34.36
frag_6212	-21.54 -25.02 -23.06
frag_2760	-8.26 -3.92 -5.05
frag_5461	22.55 26.62 24.10
frag_0723	4.86 3.22 3.90
frag_0286	1.49 6.03 3.01
frag_2765	21.34 22.16 19.52
frag_0261	6.58 6.98 6.94
frag_3012	-27.84 -24.04 -23.24
frag_6346	8.14 8.80 7.56
frag_3842	-9.18 -7.66 -8.09
frag_2665	22.53 21.99 21.37
frag_3432	-13.57 -9.53 -10.96
frag_1811	29.48 29.22 29.62
frag_4978	-13.14 -19.05 -19.24
frag_5760	-24.09 -23.36 -22.11
frag_3504	1.39 5.01 2.38
frag_1393	-12.18 -14.88 -15.22
frag_0265	20.60 26.54 24.16
frag_0336	8.57 8.39 5.03
frag_2864	-22.10 -16.35 -17.74
frag_6025	51.62 54.40 51.05
frag_2268	-24.16 -21.87 -22.43
frag_5198	0.98 3.79 2.61
frag_4478	42.86 47.49 48.60
frag_3750	18.94 20.98 21.06
frag_1813	7.06 4.33 5.77
frag_6296	21.49 23.11 24.25
frag_1224	-14.37 -18.65 -18.11
frag_3922	-11.82 -8.20 -9.29
frag_2312	-6.53 -10.50 -9.22
frag_4849	-44.14 -41.47 -40.64
frag_6381	-16.34 -7.03 -8.38
frag_0480	-8.69 -9.34 -8.91
frag_6670	3.44 2.99 4.12
frag_4211	-5.20 -6.01 -5.56
frag_3427	-16.25 -13.58 -14.33
frag_3246	-25.34 -29.49 -26.48
frag_3186	-10.71 -13.31 -13.05
frag_1418	-3.65 -2.36 -4.62
frag_2399	-32.02 -29.27 -27.85
frag_1639	14.67 4.02 5.54
frag_6287	-21.27 -17.49 -17.15
frag_6521	-7.98 -11.00 -10.02
frag_2726	-0.27 0.50 0.77
frag_4985	-20.34 -25.55 -24.83
frag_3539	6.99 7.58 7.95
frag_5146	-26.42 -28.12 -27.01
frag_0628	-36.95 -33.97 -32.81
frag_0297	5.97 8.07 8.93
frag_3745	7.72 8.69 7.92
